px,py,pq,vx,vy,vq
0.476743,-0.45375,2.56825,-0.219668,0.104513,1.39739
0.474523,-0.452739,2.58214,-0.224366,0.097625,1.38102
0.472256,-0.451797,2.59587,-0.229005,0.0908249,1.36486
0.469943,-0.450922,2.60944,-0.233583,0.084113,1.34891
0.467584,-0.450115,2.62285,-0.238101,0.0774894,1.33317
0.465181,-0.449372,2.6361,-0.242559,0.0709539,1.31764
0.462734,-0.448695,2.6492,-0.246957,0.0645066,1.30232
0.460242,-0.448082,2.66215,-0.251295,0.0581475,1.28721
0.457708,-0.447532,2.67494,-0.255572,0.0518766,1.27231
0.455131,-0.447044,2.68759,-0.25979,0.0456939,1.25762
0.452512,-0.446618,2.7001,-0.263947,0.0395994,1.24314
0.449852,-0.446252,2.71246,-0.268044,0.0335932,1.22886
0.447152,-0.445946,2.72468,-0.272081,0.0276751,1.2148
0.444411,-0.445698,2.73675,-0.276057,0.0218452,1.20095
0.441631,-0.445508,2.7487,-0.279974,0.0161035,1.1873
0.438812,-0.445376,2.7605,-0.28383,0.01045,1.17387
0.435954,-0.445299,2.77217,-0.287626,0.00488469,1.16064
0.433059,-0.445278,2.78371,-0.291362,-0.000592405,1.14763
0.430127,-0.445311,2.79513,-0.295038,-0.0059813,1.13482
0.427159,-0.445397,2.80641,-0.298654,-0.011282,1.12223
0.424154,-0.445536,2.81757,-0.302209,-0.0164945,1.10984
0.421115,-0.445727,2.82861,-0.305705,-0.0216188,1.09767
0.41804,-0.445968,2.83953,-0.30914,-0.0266549,1.0857
0.414932,-0.446259,2.85032,-0.312515,-0.0316028,1.07394
0.41179,-0.4466,2.86101,-0.31583,-0.0364625,1.06239
0.408616,-0.446988,2.87157,-0.319085,-0.041234,1.05105
0.405409,-0.447424,2.88203,-0.322279,-0.0459173,1.03993
0.40217,-0.447906,2.89237,-0.325414,-0.0505124,1.02901
0.398901,-0.448434,2.90261,-0.328488,-0.0550193,1.0183
0.395601,-0.449007,2.91274,-0.331502,-0.059438,1.0078
0.392271,-0.449623,2.92276,-0.334456,-0.0637685,0.997507
0.388912,-0.450282,2.93269,-0.33735,-0.0680108,0.987426
0.385524,-0.450983,2.94251,-0.340183,-0.0721649,0.977555
0.382108,-0.451725,2.95224,-0.342957,-0.0762309,0.967893
0.378665,-0.452507,2.96187,-0.34567,-0.0802086,0.958441
0.375195,-0.453329,2.97141,-0.348323,-0.0840981,0.949199
0.371699,-0.454189,2.98086,-0.350916,-0.0878994,0.940166
0.368177,-0.455086,2.99021,-0.353449,-0.0916125,0.931342
0.36463,-0.456021,2.99948,-0.355922,-0.0952374,0.922729
0.361059,-0.456991,3.00867,-0.358334,-0.0987741,0.914324
0.357464,-0.457996,3.01777,-0.360686,-0.102223,0.90613
0.353845,-0.459035,3.02679,-0.362978,-0.105583,0.898145
0.350204,-0.460107,3.03574,-0.36521,-0.108855,0.890369
0.346541,-0.461212,3.0446,-0.367382,-0.112039,0.882804
0.342857,-0.462348,3.05339,-0.369494,-0.115135,0.875447
0.339152,-0.463514,3.06211,-0.371545,-0.118142,0.868301
0.335426,-0.46471,3.07076,-0.373537,-0.121062,0.861364
0.331681,-0.465935,3.07934,-0.375468,-0.123893,0.854636
0.327917,-0.467188,3.08785,-0.377339,-0.126636,0.848118
0.324134,-0.468467,3.0963,-0.37915,-0.12929,0.84181
0.320334,-0.469773,3.10469,-0.3809,-0.131857,0.835711
0.316517,-0.471104,3.11302,-0.382591,-0.134335,0.829822
0.312683,-0.47246,3.12129,-0.384221,-0.136725,0.824142
0.308832,-0.473838,3.1295,-0.385791,-0.139027,0.818673
0.304967,-0.47524,3.13766,-0.387302,-0.141241,0.813412
0.301087,-0.476663,3.14577,-0.388751,-0.143367,0.808361
0.297192,-0.478107,3.15383,-0.390141,-0.145404,0.80352
0.293284,-0.479571,3.16184,-0.391471,-0.147353,0.798888
0.289363,-0.481054,3.16981,-0.39274,-0.149214,0.794466
0.285429,-0.482555,3.17773,-0.393949,-0.150987,0.790254
0.281484,-0.484073,3.18561,-0.395098,-0.152671,0.786251
0.277528,-0.485608,3.19346,-0.396187,-0.154268,0.782458
0.273561,-0.487158,3.20126,-0.397216,-0.155776,0.778874
0.269583,-0.488723,3.20903,-0.398184,-0.157196,0.7755
0.265597,-0.490302,3.21677,-0.399093,-0.158527,0.772335
0.261602,-0.491893,3.22448,-0.399941,-0.159771,0.76938
0.257598,-0.493497,3.23216,-0.400729,-0.160926,0.766635
0.253587,-0.495112,3.23982,-0.401457,-0.161993,0.764099
0.249569,-0.496736,3.24744,-0.402125,-0.162972,0.761773
0.245545,-0.498371,3.25505,-0.402732,-0.163863,0.759656
0.241515,-0.500013,3.26264,-0.40328,-0.164666,0.757749
0.23748,-0.501664,3.27021,-0.403767,-0.16538,0.756052
0.23344,-0.503321,3.27776,-0.404194,-0.166006,0.754564
0.229396,-0.504984,3.2853,-0.404561,-0.166544,0.753285
0.225349,-0.506651,3.29283,-0.404868,-0.166994,0.752217
0.221299,-0.508323,3.30034,-0.405115,-0.167355,0.751358
0.217247,-0.509998,3.30785,-0.405301,-0.167629,0.750708
0.213193,-0.511675,3.31536,-0.405427,-0.167814,0.750268
0.209138,-0.513354,3.32286,-0.405494,-0.167911,0.750038
0.206708,-0.51436,-2.95583,-0.405504,-0.167927,0.75
0.201617,-0.516435,-2.94813,-0.610908,-0.246201,0.789413
0.194528,-0.51927,-2.94005,-0.804911,-0.320131,0.826638
0.185557,-0.522823,-2.93161,-0.987512,-0.389715,0.861675
0.174816,-0.52705,-2.92282,-1.15871,-0.454955,0.894525
0.16242,-0.531907,-2.91372,-1.31851,-0.51585,0.925187
0.148484,-0.537352,-2.90433,-1.46691,-0.572401,0.953661
0.13312,-0.543341,-2.89466,-1.6039,-0.624606,0.979947
0.116444,-0.54983,-2.88474,-1.72949,-0.672467,1.00405
0.0985685,-0.556776,-2.87458,-1.84369,-0.715982,1.02596
0.0796082,-0.564135,-2.86422,-1.94648,-0.755153,1.04568
0.059677,-0.571864,-2.85368,-2.03786,-0.789979,1.06322
0.0388889,-0.57992,-2.84297,-2.11785,-0.82046,1.07856
0.0173579,-0.588259,-2.83211,-2.18644,-0.846597,1.09172
-0.00480187,-0.596838,-2.82114,-2.24362,-0.868388,1.1027
-0.0274765,-0.605612,-2.81007,-2.2894,-0.885835,1.11148
-0.050552,-0.61454,-2.79892,-2.32379,-0.898937,1.11808
-0.0739142,-0.623577,-2.78771,-2.34677,-0.907694,1.12249
-0.0974493,-0.632679,-2.77647,-2.35834,-0.912106,1.12471
-0.109612,-0.637383,-2.77068,-2.35986,-0.912683,1.125
-0.13289,-0.646563,-2.75971,-2.29628,-0.923317,1.06812
-0.155544,-0.655848,-2.74931,-2.23488,-0.933586,1.0132
-0.177595,-0.665234,-2.73944,-2.17566,-0.943491,0.960227
-0.199065,-0.674717,-2.7301,-2.11862,-0.95303,0.909204
-0.219975,-0.684293,-2.72125,-2.06376,-0.962205,0.860132
-0.240347,-0.69396,-2.71289,-2.01108,-0.971015,0.813011
-0.260204,-0.703712,-2.70498,-1.96059,-0.979461,0.76784
-0.279566,-0.713548,-2.69752,-1.91227,-0.987541,0.724621
-0.298456,-0.723462,-2.69048,-1.86614,-0.995257,0.683352
-0.316896,-0.733452,-2.68385,-1.82218,-1.00261,0.644034
-0.334907,-0.743513,-2.6776,-1.78041,-1.0096,0.606667
-0.352512,-0.753642,-2.67171,-1.74082,-1.01622,0.571251
-0.369731,-0.763836,-2.66617,-1.70341,-1.02247,0.537785
-0.386587,-0.774091,-2.66095,-1.66818,-1.02837,0.506271
-0.403102,-0.784402,-2.65603,-1.63513,-1.03389,0.476707
-0.419297,-0.794767,-2.65141,-1.60426,-1.03906,0.449094
-0.435194,-0.805182,-2.64705,-1.57557,-1.04385,0.423431
-0.450816,-0.815643,-2.64293,-1.54906,-1.04829,0.39972
-0.466183,-0.826147,-2.63905,-1.52474,-1.05236,0.377959
-0.481318,-0.836689,-2.63537,-1.50259,-1.05606,0.358149
-0.496242,-0.847267,-2.63188,-1.48262,-1.0594,0.34029
-0.510977,-0.857876,-2.62855,-1.46484,-1.06237,0.324382
-0.525546,-0.868513,-2.62538,-1.44924,-1.06498,0.310425
-0.539969,-0.879174,-2.62234,-1.43582,-1.06723,0.298418
-0.554269,-0.889856,-2.61941,-1.42457,-1.06911,0.288362
-0.568468,-0.900555,-2.61657,-1.41551,-1.07062,0.280257
-0.582587,-0.911267,-2.61379,-1.40863,-1.07177,0.274103
-0.596648,-0.921989,-2.61108,-1.40393,-1.07256,0.2699
-0.610673,-0.932717,-2.60839,-1.40142,-1.07298,0.267647
-0.619846,-0.939742,-2.60664,-1.40095,-1.07306,0.267229
-0.63394,-0.950504,-2.60399,-1.41778,-1.07918,0.262451
-0.6482,-0.961326,-2.60139,-1.43419,-1.08515,0.257792
-0.662622,-0.972206,-2.59884,-1.45018,-1.09097,0.253252
-0.677202,-0.983144,-2.59633,-1.46574,-1.09664,0.248832
-0.691936,-0.994139,-2.59386,-1.48089,-1.10215,0.244531
-0.706819,-1.00519,-2.59143,-1.49562,-1.10751,0.240349
-0.721847,-1.01629,-2.58905,-1.50993,-1.11271,0.236286
-0.737016,-1.02744,-2.58671,-1.52382,-1.11777,0.232342
-0.752322,-1.03864,-2.5844,-1.53729,-1.12267,0.228518
-0.76776,-1.04989,-2.58214,-1.55034,-1.12742,0.224813
-0.783327,-1.06119,-2.57991,-1.56297,-1.13201,0.221227
-0.799018,-1.07253,-2.57771,-1.57518,-1.13646,0.21776
-0.814829,-1.08392,-2.57555,-1.58697,-1.14075,0.214413
-0.830756,-1.09535,-2.57342,-1.59834,-1.14488,0.211185
-0.846795,-1.10682,-2.57133,-1.60929,-1.14887,0.208075
-0.862941,-1.11832,-2.56926,-1.61982,-1.1527,0.205086
-0.87919,-1.12987,-2.56723,-1.62993,-1.15638,0.202215
-0.895538,-1.14145,-2.56522,-1.63962,-1.1599,0.199464
-0.911981,-1.15307,-2.56324,-1.64889,-1.16328,0.196831
-0.928514,-1.16472,-2.56128,-1.65774,-1.1665,0.194318
-0.945134,-1.1764,-2.55935,-1.66618,-1.16956,0.191925
-0.961836,-1.18811,-2.55744,-1.67419,-1.17248,0.18965
-0.978617,-1.19985,-2.55556,-1.68178,-1.17524,0.187495
-0.995471,-1.21161,-2.55369,-1.68895,-1.17785,0.185459
-1.01239,-1.2234,-2.55185,-1.6957,-1.18031,0.183542
-1.02938,-1.23522,-2.55002,-1.70203,-1.18261,0.181744
-1.04643,-1.24705,-2.54821,-1.70794,-1.18476,0.180065
-1.06354,-1.25891,-2.54642,-1.71344,-1.18676,0.178506
-1.0807,-1.27079,-2.54464,-1.71851,-1.18861,0.177066
-1.09791,-1.28268,-2.54288,-1.72316,-1.1903,0.175745
-1.11516,-1.29459,-2.54112,-1.72739,-1.19184,0.174544
-1.13246,-1.30652,-2.53938,-1.7312,-1.19323,0.173461
-1.14979,-1.31846,-2.53766,-1.7346,-1.19446,0.172498
-1.16715,-1.33041,-2.53593,-1.73757,-1.19554,0.171654
-1.18454,-1.34237,-2.53422,-1.74012,-1.19647,0.170929
-1.20195,-1.35434,-2.53252,-1.74226,-1.19725,0.170324
-1.21938,-1.36631,-2.53081,-1.74397,-1.19787,0.169837
-1.23683,-1.37829,-2.52912,-1.74526,-1.19834,0.16947
-1.25428,-1.39028,-2.52743,-1.74613,-1.19866,0.169222
-1.27175,-1.40227,-2.52573,-1.74659,-1.19882,0.169093
-1.28187,-1.40922,-2.52475,-1.74666,-1.19885,0.169073
-1.2993,-1.42121,-2.52309,-1.73899,-1.19922,0.163148
-1.31665,-1.4332,-2.52149,-1.73146,-1.19959,0.157324
-1.33393,-1.4452,-2.51995,-1.72405,-1.19996,0.151601
-1.35113,-1.4572,-2.51846,-1.71678,-1.20031,0.145981
-1.36826,-1.4692,-2.51703,-1.70964,-1.20066,0.140462
-1.38533,-1.48121,-2.51565,-1.70263,-1.201,0.135045
